@relation feature_vector

@attribute alpha_one numeric
@attribute alpha_two numeric
@attribute alpha_three numeric
@attribute alpha_four numeric
@attribute alpha_five numeric
@attribute alpha_six numeric
@attribute watermarked {1,0}

@data
9.22,9.27,17.67,20.45,90.43,172.74,0
6.3,163.11,32.09,2.97,5.64,14.14,0
164.82,58.21,4.85,5.81,8.21,40.98,0
12.06,9.36,10.81,6.26,11.16,11.91,0
8.62,57.34,6.92,19.35,6.14,93.14,0
7.19,4.64,5.65,7.91,167.45,7,0
10.99,10.02,9.19,8.71,80.67,163.94,0
17.34,14,18.56,18.03,137.86,163.72,0
51.44,101.34,130.64,43.99,100.35,57.89,0
11.58,13.84,6.45,7.04,12.53,6.87,0
11.74,80.81,153.17,13,18.11,11.22,0
127.54,67.71,57.13,48.81,87.21,120.61,0
138.36,27.39,39.51,140.48,37.78,141.4,0
30.9,9.8,11.28,12.37,67.5,157.41,0
16.17,15.8,161.99,32.64,8.52,12,0
164.46,67.86,6.14,5.87,10.44,9.63,0
167.6,15.72,7.02,6.16,175.45,172.13,1
86.61,86.33,91.32,100.82,51.18,60.46,0
6.33,7.59,4.13,6.01,7.73,176.82,0
3.64,14.93,6.47,4.56,168.33,44.63,0
3.28,101.75,11.28,158.46,8.43,72.18,0
97.95,178.24,5.4,6.26,167.24,6.07,0
22.28,3.87,5.06,85.92,149.51,22.55,0
69.64,67.35,94.22,89.16,87.26,170.83,0
10.05,6.26,6.79,7.18,12.21,13.27,0
34.79,14.19,8.81,18.08,24.74,147.18,0
17.35,79.26,144.43,147.15,33.48,28.72,0
14.54,62.89,162.22,13.05,15.27,18.28,0
91.46,34.25,85.9,105.54,114.28,79.94,0
22.99,16.57,172.69,11.6,135.6,163.16,0
174,5.99,6.13,60.54,163.36,8.9,1
5.96,4.32,4.34,2.86,5.97,7.37,0
171.87,115.45,19.08,23.07,18.79,11.62,0
10.94,10.27,7.24,7.95,174.73,10.19,0
13.57,12.68,11.55,7.7,10.18,13.42,0
164.4,16.41,5.37,9.69,14.73,13.52,0
49.69,125.14,42.23,123.7,73.96,40.58,0
26.46,17.94,5.41,103.65,136.09,6.47,0
45.29,89.3,150.62,28.51,158.16,69.17,0
19.05,22.29,57.39,9.86,169.19,84.88,0
69.14,25.5,95.47,74.64,118.19,113.52,0
125.6,65.18,68.29,114.51,42.31,48.08,0
49.42,122.45,32.18,49.12,129.68,89.57,0
8.95,7.28,11.89,12.35,169.42,14.88,0
6.2,3.54,2.17,7.64,10.61,168.06,0
7.73,4.24,9.71,165.45,11.27,4.77,0
6.41,9.12,8.24,7.41,11.38,8.67,0
148.04,18.2,81.72,128.13,35.94,105.85,0
159.55,7.35,55.45,20.78,18.48,6.09,0
10.25,9.41,16.26,172.84,8.39,21.27,0
54.81,125.23,119.66,13.14,48.16,47.06,0
173.15,18.91,63.91,161.12,15.64,26.4,0
14.66,11.06,15.47,168.19,14.44,15.3,0
18.43,16.39,15.87,9.24,44.36,168.19,0
24.07,24.36,129.8,32.64,43.59,25.62,0
12.09,11.78,67.09,168.42,6.95,10.77,0
11.24,12.31,13.4,158.31,9.88,9.86,0
4.04,4.39,5.62,1.23,10.93,9.81,0
163.75,93.9,43.38,151.29,15.22,12.67,0
